BARRIO;METROS;HABITACIONES;PRECIO_TOTAL;PRECIO_M2;PRECIO_M2_BARRIO;DIFERENCIA;OPORTUNIDAD
Vicalvaro;125;2;440.936 €;3527;3955;-427.51;OPORTUNIDAD
Barajas;136;1;684.519 €;5033;4636;397.23;NORMAL
Villaverde;128;1;688.963 €;5383;6448;-1065.47;OPORTUNIDAD
Vicalvaro;77;5;534.460 €;6941;5785;1156.04;NORMAL
Barajas;132;1;538.365 €;4079;3711;367.53;NORMAL
Vicalvaro;137;3;648.804 €;4736;4408;327.8;NORMAL
San Blas;53;1;247.405 €;4668;4509;159.03;NORMAL
Salamanca;116;4;609.350 €;5253;4911;342.02;NORMAL
Latina;55;2;212.304 €;3860;4287;-426.92;NORMAL
Tetuan;65;1;427.570 €;6578;6018;560.01;NORMAL
Arganzuela;73;3;321.927 €;4410;3842;567.97;NORMAL
Centro;48;5;224.120 €;4669;4602;67.17;NORMAL
Villaverde;43;1;165.415 €;3847;3359;487.88;NORMAL
Villa de Vallecas;114;1;733.153 €;6431;6521;-89.83;NORMAL
Hortaleza;150;2;555.556 €;3704;3766;-62.29;NORMAL
Salamanca;56;2;131.273 €;2344;2533;-188.83;NORMAL
Villaverde;103;3;649.196 €;6303;6945;-642.12;NORMAL
San Blas;57;5;449.193 €;7881;6927;953.58;NORMAL
Puente de Vallecas;104;5;802.441 €;7716;6634;1081.78;NORMAL
Villa de Vallecas;53;1;234.121 €;4417;5393;-975.62;OPORTUNIDAD
Latina;85;3;508.345 €;5981;6563;-582.47;NORMAL
Vicalvaro;62;2;322.311 €;5199;4455;743.57;NORMAL
Chamberi;71;4;189.300 €;2666;2938;-271.8;NORMAL
San Blas;132;5;411.579 €;3118;2761;357.02;NORMAL
Tetuan;107;2;479.391 €;4480;4080;400.29;NORMAL
Usera;40;5;237.722 €;5943;6360;-416.95;NORMAL
Hortaleza;129;4;653.481 €;5066;5712;-646.25;OPORTUNIDAD
Moncloa;125;2;383.467 €;3068;2713;354.74;NORMAL
Hortaleza;94;5;420.777 €;4476;4379;97.36;NORMAL
Hortaleza;88;2;370.081 €;4205;3908;297.47;NORMAL
Carabanchel;109;5;540.075 €;4955;4811;143.82;NORMAL
Ciudad Lineal;115;4;493.430 €;4291;4692;-401.3;NORMAL
Arganzuela;112;2;300.381 €;2682;2504;177.98;NORMAL
Vicalvaro;63;5;295.462 €;4690;5445;-755.12;OPORTUNIDAD
Tetuan;112;3;592.554 €;5291;5454;-163.34;NORMAL
Moncloa;90;1;512.192 €;5691;5674;17.02;NORMAL
Chamartin;103;3;658.918 €;6397;5369;1028.26;NORMAL
Salamanca;97;2;372.826 €;3844;4654;-810.43;OPORTUNIDAD
Chamartin;136;3;369.526 €;2717;3310;-592.9;OPORTUNIDAD
Moncloa;60;2;305.984 €;5100;6199;-1099.26;OPORTUNIDAD
Latina;149;4;493.911 €;3315;3064;250.84;NORMAL
Vicalvaro;120;5;612.320 €;5103;5082;20.67;NORMAL
Vicalvaro;93;3;659.684 €;7093;6571;522.38;NORMAL
Ciudad Lineal;144;3;585.075 €;4063;4724;-660.98;OPORTUNIDAD
Barajas;105;2;478.823 €;4560;4253;307.23;NORMAL
Chamberi;130;1;781.311 €;6010;5872;138.09;NORMAL
Salamanca;68;2;392.816 €;5777;5465;311.72;NORMAL
Salamanca;131;1;574.723 €;4387;4833;-445.8;NORMAL
Barajas;64;1;330.310 €;5161;5237;-75.9;NORMAL
Chamartin;69;5;376.713 €;5460;4962;497.62;NORMAL
Chamartin;105;1;333.886 €;3180;3208;-28.13;NORMAL
Barajas;50;4;260.943 €;5219;5472;-253.13;NORMAL
Hortaleza;102;5;343.175 €;3364;4073;-708.53;OPORTUNIDAD
Moncloa;69;4;265.928 €;3854;3759;95.03;NORMAL
Hortaleza;89;2;611.232 €;6868;5824;1043.79;NORMAL
Vicalvaro;106;1;230.400 €;2174;2590;-416.41;OPORTUNIDAD
Chamberi;95;1;629.437 €;6626;5803;822.66;NORMAL
Chamberi;68;2;343.230 €;5048;5641;-593.49;OPORTUNIDAD
Centro;112;1;571.988 €;5107;4643;464.04;NORMAL
Chamartin;144;4;672.563 €;4671;4981;-310.42;NORMAL
Chamartin;143;3;970.524 €;6787;6918;-131.11;NORMAL
Villaverde;121;4;344.721 €;2849;2677;171.94;NORMAL
Arganzuela;143;4;945.403 €;6611;6307;304.22;NORMAL
San Blas;73;2;417.012 €;5712;4812;900.5;NORMAL
Usera;132;4;646.962 €;4901;4682;219.23;NORMAL
Moratalaz;44;3;219.187 €;4982;5528;-546.48;NORMAL
Carabanchel;134;4;1.111.732 €;8297;6996;1300.51;NORMAL
Barajas;85;1;282.809 €;3327;3683;-355.83;NORMAL
Chamberi;133;1;804.948 €;6052;6072;-19.76;NORMAL
Moratalaz;148;2;924.134 €;6244;5593;651.15;NORMAL
Salamanca;112;1;640.421 €;5718;5513;205.05;NORMAL
Hortaleza;58;4;216.164 €;3727;3892;-165.03;NORMAL
Puente de Vallecas;65;5;356.503 €;5485;5677;-192.33;NORMAL
Ciudad Lineal;64;4;359.742 €;5621;6346;-725.02;OPORTUNIDAD
Latina;148;4;447.577 €;3024;3278;-253.83;NORMAL
Vicalvaro;135;2;966.291 €;7158;6778;379.72;NORMAL
Hortaleza;104;2;332.264 €;3195;3469;-274.15;NORMAL
Hortaleza;75;3;310.193 €;4136;3807;328.91;NORMAL
Moratalaz;99;5;501.629 €;5067;4538;528.96;NORMAL
Vicalvaro;63;4;308.718 €;4900;4867;33.29;NORMAL
Salamanca;51;4;295.852 €;5801;5254;547.04;NORMAL
Villaverde;118;1;405.542 €;3437;3958;-521.2;OPORTUNIDAD
Salamanca;113;1;266.762 €;2361;2794;-433.27;OPORTUNIDAD
Vicalvaro;48;4;161.703 €;3369;4019;-650.18;OPORTUNIDAD
Villa de Vallecas;142;1;561.728 €;3956;4128;-172.16;NORMAL
Salamanca;46;1;323.302 €;7028;6015;1013.31;NORMAL
Centro;62;5;181.304 €;2924;3527;-602.74;OPORTUNIDAD
Moncloa;51;2;309.659 €;6072;5960;111.75;NORMAL
Salamanca;113;5;471.325 €;4171;3743;428.03;NORMAL
Hortaleza;115;1;393.943 €;3426;4103;-677.41;OPORTUNIDAD
Villa de Vallecas;149;3;1.032.141 €;6927;6773;154.12;NORMAL
Villa de Vallecas;40;5;175.997 €;4400;3671;728.95;NORMAL
Ciudad Lineal;79;3;242.804 €;3073;3146;-72.53;NORMAL
Moratalaz;108;2;276.433 €;2560;2532;27.57;NORMAL
Retiro;75;4;411.307 €;5484;5033;451.1;NORMAL
Moncloa;94;3;477.130 €;5076;5422;-346.15;NORMAL
Villa de Vallecas;148;1;386.259 €;2610;2840;-230.14;NORMAL
San Blas;98;4;580.271 €;5921;5037;884.13;NORMAL
Barajas;114;5;491.342 €;4310;4095;215.03;NORMAL
Hortaleza;123;2;486.217 €;3953;4600;-647.01;OPORTUNIDAD
Ciudad Lineal;49;3;260.980 €;5326;4936;390.12;NORMAL
Centro;72;3;345.055 €;4792;4115;677.43;NORMAL
Vicalvaro;130;4;920.837 €;7083;5928;1155.36;NORMAL
Centro;140;2;601.032 €;4293;5271;-977.91;OPORTUNIDAD
Villa de Vallecas;59;1;345.386 €;5854;6789;-934.99;OPORTUNIDAD
Salamanca;52;1;187.298 €;3602;3038;563.89;NORMAL
Ciudad Lineal;125;5;433.451 €;3468;4003;-535.39;OPORTUNIDAD
Chamartin;95;4;778.872 €;8199;6962;1236.66;NORMAL
Ciudad Lineal;74;4;282.597 €;3819;4035;-216.12;NORMAL
Tetuan;46;1;236.495 €;5141;6124;-982.8;OPORTUNIDAD
Barajas;82;1;255.562 €;3117;2946;170.61;NORMAL
Villaverde;110;1;763.498 €;6941;6558;382.9;NORMAL
Arganzuela;45;1;286.840 €;6374;5980;394.23;NORMAL
Villa de Vallecas;150;4;926.191 €;6175;6197;-22.39;NORMAL
Barajas;84;3;322.811 €;3843;4502;-659.01;OPORTUNIDAD
Hortaleza;128;1;713.922 €;5578;6770;-1192.48;OPORTUNIDAD
Chamartin;119;3;566.162 €;4758;5722;-964.33;OPORTUNIDAD
Retiro;61;1;289.493 €;4746;4720;25.79;NORMAL
Chamartin;91;3;565.959 €;6219;6590;-370.67;NORMAL
Tetuan;140;2;499.392 €;3567;3096;471.09;NORMAL
Villaverde;108;3;775.184 €;7178;6744;433.63;NORMAL
Centro;118;4;436.954 €;3703;3264;439.01;NORMAL
San Blas;67;2;400.215 €;5973;5751;222.37;NORMAL
San Blas;116;3;539.932 €;4655;4739;-84.41;NORMAL
Usera;115;4;402.559 €;3501;3293;207.52;NORMAL
Moncloa;53;1;204.971 €;3867;4687;-819.61;OPORTUNIDAD
San Blas;111;1;676.791 €;6097;5609;488.22;NORMAL
San Blas;54;2;147.528 €;2732;3338;-605.99;OPORTUNIDAD
Chamberi;76;3;303.855 €;3998;3569;429.1;NORMAL
Carabanchel;80;5;461.077 €;5763;6932;-1168.54;OPORTUNIDAD
Puente de Vallecas;50;3;223.912 €;4478;5431;-952.74;OPORTUNIDAD
Moncloa;70;4;333.005 €;4757;4556;201.22;NORMAL
Vicalvaro;148;1;599.161 €;4048;4198;-149.61;NORMAL
Vicalvaro;41;1;256.660 €;6260;6767;-506.99;NORMAL
Villaverde;69;1;425.934 €;6173;5655;517.97;NORMAL
Latina;54;5;245.524 €;4547;3833;713.75;NORMAL
Villaverde;81;4;549.962 €;6790;6405;384.66;NORMAL
San Blas;131;5;720.237 €;5498;6756;-1258.0;OPORTUNIDAD
Moncloa;80;1;282.434 €;3530;3272;258.43;NORMAL
Carabanchel;85;2;328.706 €;3867;3927;-59.86;NORMAL
Villa de Vallecas;100;1;451.903 €;4519;3976;543.04;NORMAL
Salamanca;133;5;518.150 €;3896;3433;462.87;NORMAL
Hortaleza;145;3;800.124 €;5518;6609;-1090.9;OPORTUNIDAD
Vicalvaro;98;5;713.451 €;7280;6516;764.12;NORMAL
Puente de Vallecas;120;2;977.504 €;8146;6964;1181.87;NORMAL
Puente de Vallecas;45;3;220.541 €;4901;4330;570.91;NORMAL
Retiro;124;1;584.416 €;4713;4010;703.03;NORMAL
Tetuan;108;1;397.310 €;3679;3643;35.8;NORMAL
Chamartin;132;5;847.113 €;6418;5717;700.53;NORMAL
Hortaleza;52;1;330.988 €;6365;5810;555.16;NORMAL
Chamartin;101;4;277.059 €;2743;2930;-186.83;NORMAL
Vicalvaro;75;5;369.619 €;4928;4475;453.26;NORMAL
Villaverde;150;3;431.129 €;2874;3175;-300.8;NORMAL
Vicalvaro;76;4;570.675 €;7509;6305;1203.89;NORMAL
Usera;88;4;528.985 €;6011;5075;936.2;NORMAL
Retiro;130;4;720.630 €;5543;5335;208.31;NORMAL
Arganzuela;92;5;620.224 €;6742;6913;-171.43;NORMAL
Carabanchel;125;4;458.765 €;3670;3958;-287.88;NORMAL
Vicalvaro;45;1;227.147 €;5048;5252;-204.28;NORMAL
Salamanca;77;2;276.561 €;3592;3203;388.7;NORMAL
Chamberi;135;3;341.189 €;2527;2650;-122.67;NORMAL
Tetuan;59;3;174.222 €;2953;2512;440.93;NORMAL
Usera;138;2;665.251 €;4821;5823;-1002.33;OPORTUNIDAD
Moncloa;121;3;614.759 €;5081;4868;212.66;NORMAL
Villa de Vallecas;79;5;563.027 €;7127;6950;176.93;NORMAL
San Blas;125;5;376.336 €;3011;2549;461.69;NORMAL
Vicalvaro;101;1;415.605 €;4115;4163;-48.09;NORMAL
Hortaleza;105;5;557.970 €;5314;5657;-343.0;NORMAL
Moncloa;70;3;402.068 €;5744;5006;737.83;NORMAL
Villaverde;79;1;342.966 €;4341;3660;681.35;NORMAL
Chamberi;116;2;588.940 €;5077;5065;12.07;NORMAL
Arganzuela;127;3;643.235 €;5065;4378;686.84;NORMAL
Centro;42;4;193.806 €;4614;5512;-897.55;OPORTUNIDAD
Salamanca;63;4;191.196 €;3035;2631;403.87;NORMAL
Chamartin;73;3;284.172 €;3893;3511;381.77;NORMAL
Latina;41;2;167.618 €;4088;4597;-508.74;OPORTUNIDAD
Salamanca;84;2;393.919 €;4690;4162;527.52;NORMAL
Carabanchel;136;1;787.575 €;5791;6295;-504.0;NORMAL
Centro;75;5;484.854 €;6465;6307;157.73;NORMAL
Moncloa;102;4;650.159 €;6374;5554;820.11;NORMAL
Moratalaz;87;4;276.408 €;3177;2966;211.11;NORMAL
Chamartin;78;1;184.795 €;2369;2584;-214.82;NORMAL
Hortaleza;55;1;218.808 €;3978;3843;135.34;NORMAL
Villaverde;68;1;500.679 €;7363;6777;585.94;NORMAL
Hortaleza;73;2;458.708 €;6284;6753;-469.33;NORMAL
Chamberi;137;2;712.130 €;5198;5093;105.03;NORMAL
Ciudad Lineal;71;1;420.170 €;5918;5282;635.89;NORMAL
Chamartin;65;1;212.310 €;3266;3444;-177.69;NORMAL
Moncloa;150;3;542.405 €;3616;3129;487.04;NORMAL
Arganzuela;108;3;571.423 €;5291;5149;141.96;NORMAL
Tetuan;89;4;446.694 €;5019;4539;480.04;NORMAL
San Blas;74;4;173.974 €;2351;2589;-237.99;NORMAL
Hortaleza;43;5;221.287 €;5146;6216;-1069.78;OPORTUNIDAD
Centro;53;4;162.044 €;3057;2885;172.44;NORMAL
Puente de Vallecas;45;1;216.090 €;4802;5638;-836.0;OPORTUNIDAD
Moncloa;142;5;580.907 €;4091;4394;-303.1;NORMAL
Villa de Vallecas;66;1;189.104 €;2865;3036;-170.77;NORMAL
Latina;96;1;377.317 €;3930;4484;-553.61;OPORTUNIDAD
Centro;87;5;446.318 €;5130;5816;-685.9;OPORTUNIDAD
San Blas;104;4;743.546 €;7149;6470;679.48;NORMAL
Usera;149;3;886.011 €;5946;5060;886.39;NORMAL
Moratalaz;126;3;865.091 €;6866;6473;392.81;NORMAL
Moncloa;82;4;426.515 €;5201;5042;159.41;NORMAL
Villaverde;86;5;456.602 €;5309;5573;-263.67;NORMAL
Centro;65;3;344.593 €;5301;5128;173.43;NORMAL
Vicalvaro;101;5;673.354 €;6667;5666;1000.87;NORMAL
Carabanchel;126;2;628.662 €;4989;5376;-386.61;NORMAL
Centro;92;2;403.713 €;4388;4957;-568.81;OPORTUNIDAD
Usera;83;5;481.691 €;5804;6249;-445.48;NORMAL
Vicalvaro;46;3;183.405 €;3987;4570;-582.93;OPORTUNIDAD
Arganzuela;111;5;303.347 €;2733;2928;-195.14;NORMAL
Puente de Vallecas;109;1;835.320 €;7663;6763;900.5;NORMAL
San Blas;150;3;419.386 €;2796;2913;-117.09;NORMAL
Arganzuela;114;5;767.825 €;6735;6870;-134.69;NORMAL
Moratalaz;122;4;322.919 €;2647;2846;-199.12;NORMAL
Villa de Vallecas;150;3;540.157 €;3601;3375;226.05;NORMAL
Usera;42;4;197.227 €;4696;5303;-607.1;OPORTUNIDAD
Vicalvaro;67;5;421.806 €;6296;5487;808.62;NORMAL
Chamartin;107;1;737.832 €;6896;6509;386.63;NORMAL
Centro;136;4;435.238 €;3200;3355;-154.72;NORMAL
Moratalaz;88;2;499.459 €;5676;5262;413.67;NORMAL
San Blas;147;4;566.874 €;3856;3973;-116.71;NORMAL
Moratalaz;83;2;202.207 €;2436;2644;-207.76;NORMAL
Barajas;117;2;530.616 €;4535;5231;-695.82;OPORTUNIDAD
Villa de Vallecas;149;2;871.366 €;5848;5389;459.1;NORMAL
Usera;138;4;698.837 €;5064;4921;143.04;NORMAL
Barajas;124;4;590.871 €;4765;5296;-530.9;OPORTUNIDAD
Moratalaz;92;1;244.537 €;2658;2651;7.01;NORMAL
Moratalaz;62;4;184.651 €;2978;2513;465.25;NORMAL
Chamartin;75;4;346.521 €;4620;5197;-576.71;OPORTUNIDAD
Chamartin;73;3;261.751 €;3586;3158;427.64;NORMAL
Salamanca;81;4;316.069 €;3902;3658;244.09;NORMAL
Chamartin;52;1;280.963 €;5403;4609;794.14;NORMAL
Usera;65;2;472.857 €;7275;6504;770.74;NORMAL
Hortaleza;82;2;315.873 €;3852;4506;-653.88;OPORTUNIDAD
Villa de Vallecas;93;5;315.245 €;3390;3245;144.74;NORMAL
San Blas;121;3;537.127 €;4439;4495;-55.93;NORMAL
Chamartin;55;3;377.009 €;6855;6973;-118.29;NORMAL
Moratalaz;96;4;704.011 €;7333;6122;1211.46;NORMAL
Puente de Vallecas;83;1;350.762 €;4226;4129;97.05;NORMAL
Vicalvaro;47;4;237.394 €;5051;4415;635.95;NORMAL
Usera;67;4;445.882 €;6655;5691;963.97;NORMAL
Moncloa;83;2;287.460 €;3463;3572;-108.62;NORMAL
Hortaleza;112;1;355.236 €;3172;3557;-385.25;OPORTUNIDAD
Villaverde;59;3;218.564 €;3704;4169;-464.52;OPORTUNIDAD
Moncloa;58;5;290.143 €;5002;5707;-704.53;OPORTUNIDAD
Vicalvaro;78;1;332.538 €;4263;4438;-174.69;NORMAL
Villaverde;112;4;358.233 €;3199;3585;-386.49;OPORTUNIDAD
Villaverde;110;2;575.168 €;5229;5103;125.8;NORMAL
San Blas;80;3;300.302 €;3754;3517;236.79;NORMAL
Moratalaz;111;1;435.371 €;3922;3751;171.26;NORMAL
Carabanchel;100;2;699.714 €;6997;6831;166.15;NORMAL
Retiro;45;2;151.059 €;3357;4072;-715.11;OPORTUNIDAD
Usera;119;5;511.546 €;4299;3913;385.71;NORMAL
Villaverde;127;4;789.259 €;6215;5712;502.64;NORMAL
Moncloa;62;4;248.955 €;4015;4423;-407.59;NORMAL
Puente de Vallecas;47;4;210.003 €;4468;4733;-264.84;NORMAL
Retiro;54;3;392.696 €;7272;6320;952.15;NORMAL
Moncloa;107;3;836.685 €;7819;6598;1221.49;NORMAL
Moncloa;79;4;213.404 €;2701;2932;-230.67;NORMAL
Villa de Vallecas;64;5;349.942 €;5468;6034;-566.14;NORMAL
Villa de Vallecas;111;5;575.417 €;5184;4518;665.94;NORMAL
Arganzuela;70;4;496.566 €;7094;6886;207.81;NORMAL
Arganzuela;58;1;342.115 €;5899;5175;723.55;NORMAL
Usera;98;1;602.744 €;6150;5441;709.45;NORMAL
Carabanchel;57;4;195.558 €;3431;3786;-355.15;NORMAL
Arganzuela;114;4;481.444 €;4223;3553;670.2;NORMAL
Salamanca;79;5;563.991 €;7139;6491;648.14;NORMAL
Ciudad Lineal;51;5;213.761 €;4191;4717;-525.59;OPORTUNIDAD
Tetuan;55;1;300.886 €;5471;5785;-314.34;NORMAL
San Blas;143;3;564.792 €;3950;4079;-129.4;NORMAL
Carabanchel;83;4;412.065 €;4965;4912;52.65;NORMAL
Moratalaz;85;2;366.407 €;4311;4681;-370.33;NORMAL
Barajas;99;2;459.916 €;4646;4003;642.62;NORMAL
Arganzuela;85;1;627.752 €;7385;6163;1222.32;NORMAL
San Blas;76;5;494.323 €;6504;6586;-81.74;NORMAL
Salamanca;62;4;185.801 €;2997;3587;-590.2;OPORTUNIDAD
Chamartin;127;3;331.276 €;2608;2512;96.48;NORMAL
Tetuan;147;3;436.904 €;2972;2817;155.14;NORMAL
Hortaleza;105;1;452.625 €;4311;3803;507.72;NORMAL
Hortaleza;69;2;225.925 €;3274;3931;-656.72;OPORTUNIDAD
Hortaleza;99;4;366.819 €;3705;3372;333.24;NORMAL
Latina;98;3;525.157 €;5359;5391;-32.25;NORMAL
Vicalvaro;58;2;267.466 €;4611;5048;-436.52;NORMAL
Barajas;43;4;134.363 €;3125;3571;-446.28;OPORTUNIDAD
Arganzuela;113;2;628.591 €;5563;5920;-357.25;NORMAL
Tetuan;109;1;318.026 €;2918;3547;-629.33;OPORTUNIDAD
Centro;84;3;476.265 €;5670;6623;-953.17;OPORTUNIDAD
Barajas;135;3;464.453 €;3440;4086;-645.61;OPORTUNIDAD
Moratalaz;102;3;681.699 €;6683;6184;499.33;NORMAL
Tetuan;140;1;688.878 €;4921;4801;119.56;NORMAL
Arganzuela;61;4;152.072 €;2493;2551;-58.01;NORMAL
Latina;86;5;310.754 €;3613;3038;575.42;NORMAL
Puente de Vallecas;111;3;281.191 €;2533;2718;-184.74;NORMAL
Retiro;72;3;361.462 €;5020;5625;-604.69;OPORTUNIDAD
Tetuan;144;4;667.939 €;4638;4467;171.47;NORMAL
Moncloa;144;4;627.846 €;4360;4740;-379.96;NORMAL
Tetuan;76;5;292.255 €;3845;4236;-390.53;NORMAL
Puente de Vallecas;44;2;189.347 €;4303;4904;-600.65;OPORTUNIDAD
Salamanca;45;4;286.895 €;6375;6747;-371.55;NORMAL
Usera;61;2;266.283 €;4365;4652;-286.69;NORMAL
Hortaleza;141;3;691.574 €;4905;5527;-622.22;OPORTUNIDAD
Centro;101;1;265.371 €;2627;2600;27.44;NORMAL
Chamberi;82;4;326.122 €;3977;4613;-635.9;OPORTUNIDAD
San Blas;56;4;268.737 €;4799;4718;80.88;NORMAL
San Blas;87;4;286.535 €;3294;2892;401.51;NORMAL
Hortaleza;51;2;298.850 €;5860;5929;-69.19;NORMAL
Usera;67;3;379.020 €;5657;4940;717.02;NORMAL
Salamanca;117;3;713.119 €;6095;5434;661.04;NORMAL
Usera;89;5;425.225 €;4778;5480;-702.18;OPORTUNIDAD
Carabanchel;136;5;598.992 €;4404;4239;165.36;NORMAL
Centro;95;2;255.490 €;2689;3163;-473.62;OPORTUNIDAD
Ciudad Lineal;65;1;292.540 €;4501;5124;-623.38;OPORTUNIDAD
San Blas;62;1;447.768 €;7222;6594;628.08;NORMAL
Salamanca;108;3;251.463 €;2328;2516;-187.64;NORMAL
Usera;106;5;283.139 €;2671;2882;-210.88;NORMAL
Latina;134;4;373.203 €;2785;2604;181.1;NORMAL
Chamartin;99;4;269.808 €;2725;2681;44.34;NORMAL
Carabanchel;59;3;336.060 €;5696;6752;-1056.05;OPORTUNIDAD
Ciudad Lineal;40;2;140.832 €;3521;3651;-130.19;NORMAL
Retiro;145;3;942.318 €;6499;5825;673.75;NORMAL
Carabanchel;143;3;983.202 €;6876;6641;234.54;NORMAL
Puente de Vallecas;68;2;396.318 €;5828;6829;-1000.78;OPORTUNIDAD
Usera;78;2;314.847 €;4037;4863;-826.5;OPORTUNIDAD
Villa de Vallecas;94;2;490.427 €;5217;5641;-423.69;NORMAL
Carabanchel;82;2;615.966 €;7512;6344;1167.79;NORMAL
Ciudad Lineal;69;3;335.381 €;4861;6040;-1179.39;OPORTUNIDAD
Hortaleza;71;2;196.203 €;2763;2995;-231.57;NORMAL
Moncloa;143;3;830.469 €;5807;6627;-819.52;OPORTUNIDAD
Villa de Vallecas;85;1;419.890 €;4940;4410;529.89;NORMAL
Moncloa;76;3;440.830 €;5800;6011;-210.6;NORMAL
Arganzuela;139;4;908.504 €;6536;5721;815.0;NORMAL
Carabanchel;90;5;490.204 €;5447;4609;837.72;NORMAL
Villa de Vallecas;60;4;330.656 €;5511;6040;-529.07;NORMAL
Salamanca;88;2;340.393 €;3868;4219;-350.89;NORMAL
Carabanchel;91;1;447.058 €;4913;4291;621.73;NORMAL
Salamanca;110;5;503.021 €;4573;4785;-212.07;NORMAL
Retiro;85;1;462.530 €;5442;5334;107.54;NORMAL
Chamberi;86;1;596.799 €;6940;6780;159.52;NORMAL
Villa de Vallecas;103;4;322.064 €;3127;3770;-643.16;OPORTUNIDAD
Centro;91;4;612.955 €;6736;5755;980.78;NORMAL
Vicalvaro;103;4;257.032 €;2495;2692;-196.54;NORMAL
Centro;141;1;852.561 €;6047;5946;100.53;NORMAL
Chamartin;126;3;453.462 €;3599;4084;-485.09;OPORTUNIDAD
Vicalvaro;108;2;474.749 €;4396;4130;265.83;NORMAL
Villa de Vallecas;139;1;373.655 €;2688;2705;-16.83;NORMAL
Latina;91;2;371.021 €;4077;3990;87.15;NORMAL
Chamartin;74;1;238.946 €;3229;3760;-531.0;OPORTUNIDAD
Carabanchel;62;2;126.187 €;2035;2506;-470.72;OPORTUNIDAD
Carabanchel;49;4;178.639 €;3646;3802;-156.3;NORMAL
Latina;134;4;494.981 €;3694;3567;126.89;NORMAL
Villa de Vallecas;107;4;688.021 €;6430;6450;-19.89;NORMAL
Chamberi;126;2;581.677 €;4616;3919;697.49;NORMAL
Centro;73;2;266.634 €;3653;3560;92.53;NORMAL
San Blas;127;4;560.286 €;4412;3795;616.71;NORMAL
Salamanca;107;5;582.953 €;5448;6466;-1017.83;OPORTUNIDAD
Ciudad Lineal;137;1;583.744 €;4261;4304;-43.09;NORMAL
San Blas;54;1;258.293 €;4783;5099;-315.79;NORMAL
Carabanchel;119;5;270.969 €;2277;2687;-409.95;OPORTUNIDAD
Vicalvaro;73;3;346.353 €;4745;5903;-1158.43;OPORTUNIDAD
Chamberi;134;5;662.714 €;4946;5495;-549.37;NORMAL
Hortaleza;46;4;200.795 €;4365;3920;445.12;NORMAL
Ciudad Lineal;74;3;396.924 €;5364;5692;-328.15;NORMAL
Centro;68;1;210.537 €;3096;2626;470.14;NORMAL
Moratalaz;50;1;260.526 €;5211;5881;-670.47;OPORTUNIDAD
Tetuan;73;2;485.369 €;6649;6881;-232.1;NORMAL
Barajas;140;3;473.353 €;3381;3764;-382.9;OPORTUNIDAD
Puente de Vallecas;143;1;841.623 €;5885;5427;458.48;NORMAL
Usera;42;1;137.155 €;3266;2802;463.61;NORMAL
San Blas;49;1;181.606 €;3706;3518;188.25;NORMAL
Arganzuela;95;2;422.251 €;4445;5004;-559.25;OPORTUNIDAD
Carabanchel;119;1;571.579 €;4803;4700;103.19;NORMAL
Retiro;121;4;548.546 €;4533;3991;542.44;NORMAL
Latina;88;1;586.359 €;6663;6370;293.18;NORMAL
Villaverde;65;2;311.450 €;4792;4748;43.55;NORMAL
Centro;109;4;387.953 €;3559;3171;388.21;NORMAL
Centro;45;5;238.635 €;5303;5720;-416.99;NORMAL
Barajas;97;3;498.889 €;5143;5011;132.19;NORMAL
Arganzuela;75;4;469.877 €;6265;6451;-185.97;NORMAL
Moncloa;46;4;243.825 €;5301;5153;147.55;NORMAL
Usera;101;4;576.506 €;5708;5673;34.99;NORMAL
Centro;133;5;467.696 €;3517;3124;392.52;NORMAL
Hortaleza;139;2;946.756 €;6811;5727;1084.2;NORMAL
Villaverde;60;3;254.994 €;4250;4919;-669.09;OPORTUNIDAD
Moncloa;124;4;938.488 €;7568;6442;1126.46;NORMAL
Retiro;60;2;261.093 €;4352;4037;314.56;NORMAL
Villaverde;129;5;697.587 €;5408;4688;719.66;NORMAL
Usera;116;4;951.219 €;8200;6869;1331.16;NORMAL
San Blas;148;2;535.963 €;3621;3024;597.37;NORMAL
Villaverde;95;2;318.721 €;3355;3264;90.97;NORMAL
Salamanca;77;5;273.344 €;3550;3088;461.93;NORMAL
Chamartin;63;5;324.177 €;5146;5362;-216.32;NORMAL
Latina;121;2;439.190 €;3630;3192;437.67;NORMAL
Carabanchel;67;4;255.897 €;3819;4749;-929.63;OPORTUNIDAD
Centro;141;5;934.744 €;6629;6978;-348.61;NORMAL
Chamartin;44;5;316.509 €;7193;6187;1006.39;NORMAL
Vicalvaro;125;2;981.962 €;7856;6586;1269.7;NORMAL
Villa de Vallecas;71;4;214.817 €;3026;2869;156.59;NORMAL
Usera;77;1;289.659 €;3762;3541;220.81;NORMAL
Moratalaz;51;5;278.337 €;5458;6011;-553.41;NORMAL
Centro;98;2;325.623 €;3323;3560;-237.31;NORMAL
Retiro;63;4;319.664 €;5074;6085;-1010.97;OPORTUNIDAD
Usera;59;5;210.837 €;3574;4128;-554.48;OPORTUNIDAD
Moncloa;46;4;216.280 €;4702;5079;-377.24;NORMAL
Chamberi;80;2;314.708 €;3934;3935;-1.15;NORMAL
Moratalaz;85;4;220.738 €;2597;2792;-195.08;NORMAL
Moratalaz;131;5;856.294 €;6537;6491;45.6;NORMAL
Carabanchel;108;3;585.548 €;5422;6233;-811.25;OPORTUNIDAD
Chamartin;145;3;674.078 €;4649;4470;178.82;NORMAL
